,FIRST,LAST,NICKNAME,HT,WT,REACH,STANCE,W,L,D,BELT
49,Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,30,7,0,
50,JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,10,4,0,
51,Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,
52,John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,
53,Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,
54,Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,
55,Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,
56,Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,
57,Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,
58,Levi,Alford,,--,--,--,,1,7,0,
59,Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,14,6,0,
60,Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,
61,Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,
62,Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,
63,John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,6,0,
64,George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,
65,Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,17,1,0,
66,Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,17,4,0,
67,Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,
68,Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,
69,Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,
70,Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,
71,Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,
72,Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,
73,Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,14,2,0,
74,Lucas,Almeida,,"5' 11""",155 lbs.,"71.0""",Orthodox,12,1,0,
75,Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,
76,Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,
77,Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,
78,Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,
79,Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,10,1,0,
80,Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,
81,Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,
82,Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,
83,Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,
84,Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,18,2,0,
85,Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,
86,Anthony,Alves,,--,--,--,,1,4,0,
87,Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,
88,Warlley,Alves,,"5' 11""",170 lbs.,"72.0""",Orthodox,15,5,0,
89,Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,19,10,0,
90,Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,16,1,
91,Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,
92,Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,
93,Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,
94,Chris,Amarante,,--,185 lbs.,--,,2,0,0,
95,Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,
96,JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,
97,Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,2,0,
98,Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,16,6,0,
99,Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,
100,Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,
101,Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,14,5,0,
102,Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,
103,Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,
104,Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,
105,Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,
106,Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,
107,Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,
108,Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,
109,Jessica,Andrade,Bate Estaca,"5' 1""",125 lbs.,"62.0""",Orthodox,22,9,0,
110,Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,
111,Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,
112,Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,
113,Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,
114,Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,
115,Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,2,0,
116,Chad,Anheliger,,"5' 6""",135 lbs.,"64.0""",Orthodox,11,5,0,
117,Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,
118,Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,15,1,0,
119,Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,
120,Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,
121,Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,
122,Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,
123,Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,
124,Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,
125,,Aoriqileng,The Mongolian Murderer,"5' 7""",125 lbs.,"69.0""",Orthodox,18,7,0,
126,Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,
127,Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,
128,Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,
129,Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,
130,Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,
131,Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,
132,Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,10,3,0,
133,Julio,Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,17,4,0,
134,Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,
135,Tristan,Arenal,,--,155 lbs.,--,,7,4,0,
136,Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0,
137,Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,31,20,0,
138,Joey,Armstrong,,--,--,--,,5,2,0,
139,Austin,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0,
140,Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0,
141,Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0,
142,Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1,
143,Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,
144,Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,
145,Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0,
146,Veta,Arteaga,,"5' 7""",125 lbs.,--,,3,1,0,
147,Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0,
148,Teddy,Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0,
149,Arman,Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1,
150,Askar,Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,
151,Askar,Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,13,0,1,
152,Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0,
153,Khusein,Askhabov,Lion,"5' 8""",145 lbs.,--,,23,0,0,
154,Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0,
155,Ben,Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0,
156,Ibo,Aslan,The Last Ottoman,"6' 3""",205 lbs.,--,,8,0,0,
157,Tom,Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,11,2,0,
158,Bruno,Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0,
159,Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0,
160,Raphael,Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,27,8,0,
161,Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0,
162,Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0,
163,Olivier,Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0,
164,Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1,
165,Jose,Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0,
166,Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0,
167,David,Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0,
168,Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0,
169,Levi,Avera,,"6' 1""",170 lbs.,--,,18,15,0,
170,Anthony,Avila,,"5' 7""",145 lbs.,--,,13,5,0,
171,Chris,Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0,
172,Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,2,0,
173,Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0,
174,Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0,
175,Jessin,Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0,
176,Abu,Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,3,1,
177,Ottman,Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,0,0,
178,Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0,
179,Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1,
180,Hunter,Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0,
181,Niklas,Backstrom,,"6' 1""",145 lbs.,--,Orthodox,11,3,0,
182,Seth,Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"75.0""",Orthodox,20,14,0,
183,Ryan,Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23,5,0,
184,Izabela,Badurek,,"5' 5""",115 lbs.,--,Orthodox,6,3,0,
185,Miguel,Baeza,Caramel Thunder,"6' 2""",170 lbs.,"74.0""",Orthodox,10,1,0,
186,Ali,Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,15,6,0,
187,Mehdi,Baghdad,The Sultan,"6' 1""",155 lbs.,--,Orthodox,11,5,0,
188,Melsik,Baghdasaryan,The Gun,"5' 9""",145 lbs.,"70.0""",Southpaw,6,1,0,
189,Siyar,Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,24,8,1,
190,Ignacio,Bahamondes,La Jaula,"6' 3""",155 lbs.,"75.0""",Orthodox,12,4,0,
191,Shamar,Bailey,,"5' 9""",155 lbs.,"75.0""",Southpaw,16,11,0,
192,Jordan,Bailey,,"5' 9""",145 lbs.,--,,6,3,0,
193,Scott,Baker,,"6' 0""",210 lbs.,--,,1,1,0,
194,Bryan,Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,18,5,0,
195,Jin,Bala,,"5' 9""",155 lbs.,--,,20,1,0,
196,Oluwale,Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6,4,0,
197,Stephen,Banaszak,,"6' 0""",145 lbs.,--,,5,5,0,
198,Marcin,Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,15,7,0,
199,Humberto,Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,14,7,0,
200,Tae Hyun,Bang,Supernatural,"5' 9""",155 lbs.,"71.0""",Switch,18,10,0,
201,Yohan,Banks,,--,--,--,,2,1,0,
202,Antonio,Banuelos,,"5' 5""",135 lbs.,"63.0""",Orthodox,20,11,1,
203,Renan,Barao,The Baron,"5' 6""",145 lbs.,"70.0""",Orthodox,34,9,0,
204,Junior,Barata,,"5' 10""",170 lbs.,--,Orthodox,9,3,1,
205,Maycee,Barber,The Future,"5' 5""",125 lbs.,"65.0""",Switch,9,2,0,
206,Bryan,Barberena,Bam Bam,"6' 0""",170 lbs.,"72.0""",Southpaw,15,8,0,
207,Edson,Barboza,Junior,"5' 11""",145 lbs.,"75.0""",Orthodox,22,10,0,
208,Raoni,Barcelos,,"5' 7""",135 lbs.,"67.0""",Orthodox,16,2,0,
209,Daniel,Barez,,"5' 6""",125 lbs.,"66.0""",Orthodox,12,5,0,
210,Luke,Barnatt,The Bigslow,"6' 6""",185 lbs.,"77.0""",Orthodox,13,4,0,
211,James,Barnes,Mooka,"5' 8""",135 lbs.,"71.0""",Orthodox,14,4,0,
212,Nick,Barnes,,"5' 11""",170 lbs.,--,,11,2,0,
213,Shonte,Barnes,Shyne,"5' 11""",185 lbs.,"76.0""",Southpaw,6,2,1,
214,Josh,Barnett,The Warmaster,"6' 3""",250 lbs.,"78.0""",Orthodox,35,8,0,
215,Chris,Barnett,Beastboy,"5' 9""",265 lbs.,"75.0""",Orthodox,21,7,0,
216,Chris,Barnhizer,,--,--,--,,2,3,0,
217,David,Baron,,"5' 6""",155 lbs.,--,Switch,17,4,1,
218,Phil,Baroni,The New York Bad Ass,"5' 9""",170 lbs.,"72.0""",Orthodox,15,18,0,
219,Dan,Barrera,The Fireman,"5' 9""",170 lbs.,--,Orthodox,3,1,0,
220,Carlos,Barreto,,"6' 4""",230 lbs.,--,Orthodox,14,9,0,
221,Jose,Barreto,,--,185 lbs.,--,Southpaw,0,1,0,
222,Peter,Barrett,Slippery,"5' 10""",145 lbs.,"73.0""",Southpaw,11,5,0,
223,Marc-Andre,Barriault,Powerbar,"6' 1""",185 lbs.,"74.0""",Orthodox,13,4,0,
224,David,Barrios,,"5' 6""",145 lbs.,--,,4,8,0,
225,Alexandre,Barros,Baixinho,"5' 9""",170 lbs.,--,Southpaw,22,11,0,
226,Ricardo,Barros,,"6' 1""",205 lbs.,--,,2,2,0,
227,Francimar,Barroso,Bodao,"6' 1""",205 lbs.,"75.0""",Orthodox,19,7,0,
228,Pat,Barry,HD,"5' 11""",235 lbs.,"74.0""",Orthodox,8,7,0,
229,Dean,Barry,The Sniper,--,155 lbs.,--,,3,1,0,
230,Enrique,Barzola,El Fuerte,"5' 7""",145 lbs.,"70.0""",Orthodox,17,5,2,
231,Javid,Basharat,The Snow Leopard,"5' 9""",135 lbs.,"65.0""",Orthodox,10,0,0,
232,Stephen,Bass,Bigfish,"5' 9""",145 lbs.,--,Orthodox,11,2,0,
233,Sean,Bassett,,--,155 lbs.,--,,0,4,0,
234,Ryan,Bastianelli,Relentless,"5' 5""",135 lbs.,--,,6,7,0,
235,Shayna,Baszler,The Queen of Spades,"5' 7""",135 lbs.,--,Orthodox,15,11,0,
236,Michel,Batista,,"6' 3""",260 lbs.,--,Orthodox,4,1,0,
237,Bryan,Battle,Pooh Bear,"6' 1""",185 lbs.,"77.0""",Orthodox,7,1,0,
238,Alan,Baudot,The Black Samourai,"6' 3""",243 lbs.,"79.0""",Orthodox,8,3,0,
239,Mario,Bautista,,"5' 9""",135 lbs.,"69.0""",Switch,8,2,0,
240,Chris,Beal,Real Deal,"5' 7""",125 lbs.,"69.0""",Orthodox,10,5,0,
241,Rudy,Bears,,"5' 11""",170 lbs.,--,Southpaw,16,15,0,
242,Salvador,Becerra,,"5' 9""",155 lbs.,--,,5,2,0,
243,Ariel,Beck,,"5' 6""",125 lbs.,"66.0""",Southpaw,4,5,0,
244,Jeff,Bedard,Little Popeye,"5' 6""",145 lbs.,--,Orthodox,13,3,0,
245,Eric,Bedard,Lucky Strikes,"6' 2""",239 lbs.,--,,6,7,0,
246,Johnny,Bedford,Brutal,"5' 10""",135 lbs.,"71.0""",Orthodox,21,13,1,
247,Chase,Beebe,,"5' 7""",135 lbs.,"67.0""",Orthodox,24,13,1,
248,Lyle,Beerbohm,Fancy Pants,"5' 10""",155 lbs.,--,Southpaw,24,3,0,
249,Mirsad,Bektic,,"5' 8""",145 lbs.,"70.0""",Orthodox,13,4,0,
250,Diana,Belbita,The Warrior Princess,"5' 7""",125 lbs.,"68.0""",Orthodox,14,6,0,
251,Alan,Belcher,The Talent,"6' 2""",185 lbs.,"75.0""",Orthodox,18,8,0,
252,Vitor,Belfort,The Phenom,"6' 0""",185 lbs.,"74.0""",Southpaw,26,14,0,
253,Danilo,Belluardo,Caterpillar,"6' 0""",155 lbs.,"74.0""",Southpaw,12,5,0,
254,Joey,Beltran,The Mexicutioner,"6' 1""",185 lbs.,"75.0""",Orthodox,17,14,0,
255,Marco,Beltran,Psycho,"5' 8""",125 lbs.,"69.0""",Orthodox,8,6,0,
256,Joseph,Benavidez,,"5' 4""",125 lbs.,"65.0""",Southpaw,28,8,0,
257,Mike,Bencic,Batman,"6' 0""",215 lbs.,--,Orthodox,1,2,0,
258,Dave,Beneteau,Dangerous,"6' 2""",250 lbs.,--,Orthodox,6,5,1,
259,Karla,Benitez,,"5' 3""",113 lbs.,--,,14,11,1,
260,Gabriel,Benitez,Moggly,"5' 8""",155 lbs.,"71.0""",Southpaw,22,10,0,
261,Charles,Bennett,Krazy Horse,"5' 8""",155 lbs.,--,Orthodox,30,33,2,
262,Josh,Bennett,,"6' 4""",259 lbs.,--,Orthodox,11,14,0,
263,DeAnna,Bennett,The Argentine Assassin,"5' 4""",125 lbs.,"68.0""",Orthodox,8,3,1,
264,Lance,Benoist,,"5' 11""",170 lbs.,"72.0""",Southpaw,7,2,0,
265,Joe,Benoit,,"5' 9""",170 lbs.,--,Orthodox,11,4,0,
266,Ryan,Benoit,Baby Face,"5' 5""",125 lbs.,"68.0""",Orthodox,10,8,0,
267,Pat,Benson,,"5' 9""",155 lbs.,--,,3,5,3,
268,Len,Bentley,,"5' 9""",155 lbs.,--,,10,6,0,
269,Steve,Berger,The Red Nosed Pitbull,"5' 11""",170 lbs.,--,Orthodox,21,23,2,
270,Kenneth,Bergh,,"6' 2""",205 lbs.,"74.0""",Orthodox,8,0,0,
271,Bret,Bergmark,The Angry Hick,"5' 9""",170 lbs.,--,,6,1,1,
272,Keith,Berish,Sha Bang Bang,"6' 0""",205 lbs.,--,Orthodox,5,1,0,
273,Dennis,Bermudez,The Menace,"5' 6""",155 lbs.,"66.0""",Orthodox,17,9,0,
274,Manny,Bermudez,The Bermudez Triangle,"5' 10""",145 lbs.,"71.0""",Orthodox,14,2,0,
275,Talita,Bernardo,,"5' 4""",135 lbs.,"68.0""",Orthodox,6,4,0,
276,Dave,Berry,,--,--,--,,0,1,0,
277,Keith,Berry,,"6' 1""",185 lbs.,--,,15,14,1,
278,Dieusel,Berto,,"5' 9""",200 lbs.,--,,0,3,0,
279,Edson,Berto,Little Tiger,"5' 6""",155 lbs.,--,Orthodox,17,12,1,
280,Allen,Berube,Monstah Lobstah,"5' 8""",155 lbs.,--,Orthodox,4,3,0,
281,Anton,Berzin,The Body Snatcher,"6' 2""",205 lbs.,--,Orthodox,5,1,0,
282,Scott,Bessac,,"6' 4""",245 lbs.,--,,4,6,0,
283,Matt,Bessette,The Mangler,"5' 10""",145 lbs.,"70.0""",Orthodox,22,9,0,
284,Khadzhi,Bestaev,Best,"6' 6""",185 lbs.,"76.0""",,10,4,0,
285,Fernando,Bettega,,--,170 lbs.,--,,7,5,0,
286,Arjan,Bhullar,,"6' 1""",245 lbs.,"75.0""",Orthodox,9,1,0,
287,KB,Bhullar,The Bengal,"6' 4""",185 lbs.,"78.0""",Switch,8,2,0,
288,Bibulatov,Magomed,Chaborz,"5' 5""",125 lbs.,"65.0""",Orthodox,14,2,0,
289,David,Bielkheden,,"5' 10""",155 lbs.,"71.0""",Orthodox,24,12,0,
290,Jonas,Bilharinho,Shiva,"5' 11""",145 lbs.,--,,8,1,1,
291,Jeremiah,Billington,,"5' 9""",205 lbs.,--,Orthodox,11,2,0,
292,Scott,Bills,,"5' 10""",170 lbs.,--,,7,9,1,
293,Xie,Bin,,"5' 10""",145 lbs.,--,,8,2,0,
294,Anthony,Birchak,El Toro,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,0,
295,Chris,Birchler,The Big Buck,"6' 3""",205 lbs.,--,Switch,7,4,0,
296,Michael,Bisping,The Count,"6' 1""",185 lbs.,"75.0""",Orthodox,30,9,0,
297,Amaury,Bitetti,,"5' 9""",185 lbs.,--,Orthodox,5,2,0,
298,Caio,Bittencourt,Leao,"6' 0""",185 lbs.,"75.0""",Orthodox,14,7,0,
299,Simon,Biyong,,--,205 lbs.,--,,7,1,0,
300,Jan,Blachowicz,,"6' 2""",205 lbs.,"78.0""",Orthodox,28,8,0,
301,Jason,Black,The Black Legion,"5' 8""",155 lbs.,--,Orthodox,23,4,1,
302,Brad,Blackburn,Bad Brad,"5' 10""",170 lbs.,"73.0""",Orthodox,18,13,1,
303,Jason,Blackford,,--,--,--,,3,3,0,
304,Tom,Blackledge,,--,205 lbs.,--,Orthodox,10,7,0,
305,Sherrard,Blackledge,The Thriller,"5' 11""",155 lbs.,"75.0""",Orthodox,5,1,0,
306,Erin,Blanchfield,Cold Blooded,"5' 4""",135 lbs.,"66.0""",Orthodox,7,1,0,
